SE5_A#1_run2,SE5_A#1_run2,SE5_A#1_run2,SE5_A#1_run4,SE5_A#1_run4,SE5_A#1_run4,SE5_B#2_run5,SE5_B#2_run5,SE5_B#2_run5,SE5_B#2_run6,SE5_B#2_run6,SE5_B#2_run6,SE5_B#1_run7,SE5_B#1_run7,SE5_B#1_run7,SE5_B#1_run8,SE5_B#1_run8,SE5_B#1_run8,SE5_E#1_run1,SE5_E#1_run1,SE5_E#1_run1,SE5_E#1_run2,SE5_E#1_run2,SE5_E#1_run2,SE5_E#2_run3,SE5_E#2_run3,SE5_E#2_run3,SE5_E#2_run4,SE5_E#2_run4,SE5_E#2_run4
Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time
mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.120965,0,0,0.24193,0,0,0.24193,0,0,-0.120965,0,0,0.120965,0,0,-0.24193,0,0,0,0,0,0,0,0,-0.362896,0,0,0.24193,0,0
0,0.001,0.2,0,0.001,0.2,-0.120965,0.001,0.2,0,0.001,0.2,0,0.001,0.2,-0.120965,0.001,0.2,-0.120965,0.001,0.2,0,0.001,0.2,0,0.001,0.2,0,0.001,0.2
0,0.003,0.4,0,0.003,0.4,-0.120965,0.003,0.4,0,0.003,0.4,0,0.003,0.4,0,0.003,0.4,0,0.003,0.4,0,0.003,0.4,0,0.003,0.4,0,0.003,0.4
-0.24193,0.005,0.6,0,0.005,0.6,-0.120965,0.005,0.6,0,0.005,0.6,0,0.005,0.6,0,0.005,0.6,0,0.005,0.6,0,0.005,0.6,0,0.005,0.6,0,0.005,0.6
0,0.007,0.8,0,0.007,0.8,0,0.007,0.8,0,0.007,0.8,-0.120965,0.007,0.8,0,0.007,0.8,-0.120965,0.007,0.8,0,0.007,0.8,0,0.007,0.8,0,0.007,0.8
0,0.009,1,0,0.009,1,-0.120965,0.009,1,0,0.009,1,0,0.009,1,0,0.009,1,0,0.009,1,0,0.009,1,0,0.009,1,0,0.009,1
0,0.011,1.2,0,0.011,1.2,0,0.011,1.2,0,0.011,1.2,0,0.011,1.2,0,0.011,1.2,0,0.011,1.2,0,0.011,1.2,0,0.011,1.2,0,0.011,1.2
-0.120965,0.013,1.4,0,0.013,1.4,-0.120965,0.013,1.4,0,0.013,1.4,0,0.013,1.4,-0.120965,0.013,1.4,0,0.013,1.4,0,0.013,1.4,0,0.013,1.4,-0.120965,0.013,1.4
0,0.015,1.6,0,0.015,1.6,-0.120965,0.015,1.6,0,0.015,1.6,0,0.015,1.6,0,0.015,1.6,0,0.015,1.6,0,0.015,1.6,0,0.015,1.6,0,0.015,1.6
-0.120965,0.017,1.8,0,0.017,1.8,-0.24193,0.017,1.8,0,0.017,1.8,0,0.017,1.8,0,0.017,1.8,0,0.017,1.8,0,0.017,1.8,0,0.017,1.8,0,0.017,1.8
-0.120965,0.019,2,0,0.019,2,-0.120965,0.019,2,0,0.019,2,0,0.019,2,0,0.019,2,0,0.019,2,0,0.019,2,0,0.019,2,0,0.019,2
-0.120965,0.021,2.2,0,0.021,2.2,-0.120965,0.021,2.2,0,0.021,2.2,0,0.021,2.2,0,0.021,2.2,0,0.021,2.2,0,0.021,2.2,0,0.021,2.2,0,0.021,2.2
-0.120965,0.023,2.4,0.120965,0.023,2.4,0,0.023,2.4,0,0.023,2.4,0,0.023,2.4,0,0.023,2.4,0,0.023,2.4,0,0.023,2.4,0,0.023,2.4,-0.120965,0.023,2.4
-0.120965,0.025,2.6,0,0.025,2.6,0,0.025,2.6,0,0.025,2.6,0,0.025,2.6,0,0.025,2.6,0,0.025,2.6,0,0.025,2.6,0,0.025,2.6,0,0.025,2.6
-0.120965,0.027,2.8,0,0.027,2.8,0,0.027,2.8,0,0.027,2.8,0,0.027,2.8,0,0.027,2.8,0,0.027,2.8,0,0.027,2.8,0,0.027,2.8,0,0.027,2.8
0,0.029,3,0,0.029,3,-0.24193,0.029,3,0,0.029,3,-0.120965,0.029,3,0,0.029,3,0,0.029,3,0,0.029,3,0,0.029,3,0,0.029,3
0,0.031,3.2,0,0.031,3.2,-0.120965,0.031,3.2,0,0.031,3.2,0,0.031,3.2,0,0.031,3.2,0,0.031,3.2,0,0.031,3.2,0,0.031,3.2,0,0.031,3.2
0,0.033,3.4,0,0.033,3.4,-0.120965,0.033,3.4,0,0.033,3.4,0,0.033,3.4,0,0.033,3.4,0,0.033,3.4,0,0.033,3.4,0,0.033,3.4,0,0.033,3.4
-0.120965,0.035,3.6,0,0.035,3.6,0,0.035,3.6,0,0.035,3.6,0,0.035,3.6,0,0.035,3.6,0,0.035,3.6,0,0.035,3.6,0,0.035,3.6,0,0.035,3.6
-0.120965,0.037,3.8,0.120965,0.037,3.8,-0.120965,0.037,3.8,0,0.037,3.8,0,0.037,3.8,0,0.037,3.8,0,0.037,3.8,0,0.037,3.8,0,0.037,3.8,0,0.037,3.8
